word	adj.all	adj.pert	adv.all	noun.Tops	noun.act	noun.animal	noun.artifact	noun.attribute	noun.body	noun.cognition	noun.communication	noun.event	noun.feeling	noun.food	noun.group	noun.location	noun.motive	noun.object	noun.person	noun.phenomenon	noun.plant	noun.possession	noun.process	noun.quantity	noun.relation	noun.shape	noun.state	noun.substance	noun.time	verb.body	verb.change	verb.cognition	verb.communication	verb.competition	verb.consumption	verb.contact	verb.creation	verb.emotion	verb.motion	verb.perception	verb.possession	verb.social	verb.stative	verb.weather
professional	1	1																	1																									
friend																			1																									
contact					1		1				1	1							1								1																	
solution					1					1	1				1													1																
beyond			1																																									
care					1								1																									1				1		
exchange					1		1				1									1																					1	1		
peace											1		1														1																	
sequence							1	1				1			1																	1	1											
county																1																												
nor																																												
organization					1			1							1																													
chemical		1																										1																
factor										1		1												1								1									1			
federal	1	1																	1																									
transport																							1													1			1					
capacity					1			1		1														1																				
E																																												
upper	1						1																																					
extremely			1																																									
opening	1				1		1				1	1						1									1																	
tend																																										1	1	
initially			1																																									
literature					1					1	1																																	
alone	1		1																																									
attention					1			1		1																																		
useful	1																																											
fix					1																						1				1						1					1		
winter																													1														1	
crew															1																			1										
origin								1		1		1											1																					
serious	1																																											
alternative	1																																											
featured	1																																											
centre																1																												
piece							1	1			1	1		1																	1					1								
strength								1																			1																	
measure				1	1		1				1																					1											1	
track					1		1																														1		1	1				
officer																			1														1											
shape				1				1		1																					1						1							
star																		1	1							1					1						1						1	
join																																				1						1		
command								1		1	1				1												1						1											
existing	1																																											
card							1				1																	1				1												
leader																			1																									
figure					1		1	1		1	1											1				1						1											1	
conflict					1			1					1												1		1															1	1	
compose																																					1	1					1	
vary																															1												1	
round	1		1		1		1				1			1				1												1	1		1						1					
gain																						1								1	1			1							1			
impact												1								1																1								
slightly			1																																									
behaviour																																												
look					1			1																						1			1							1			1	
nothing			1																					1																				
raise					1			1																							1	1	1	1			1		1		1			
toward																																												
choice	1				1					1																																		
heart							1	1	1	1				1												1																		
identify																																1												
maintain																																	1											
overall	1						1																																					
mark								1		1	1								1					1							1		1											
fourth	1										1														1																			
division					1						1				1																													
failure					1							1							1								1																	
tour					1																																		1					
recently			1																																									
formal	1																																											
unable	1																																											
mind										1																						1	1											
digital	1	1																																										
religion										1					1																													
typical	1																																											
parent				1															1																									
display					1		1				1																															1		
competition					1																				1																			
acid	1						1																					1																
protection					1																						1																	
wave					1				1		1	1							1	1						1				1														
fish						1								1																				1		1								
cast					1		1								1											1											1				1	1		
drive					1		1	1																			1						1	1	1	1	1		1			1	1	
expand																															1								1					
affect													1																	1	1							1						
entirely			1																																									
combination					1										1																													
forward	1		1		1														1																				1					
resistance					1			1												1							1																	
enter																																		1			1		1					
equivalent	1							1		1																																		
episode											1	1																																
sector							1			1					1	1								1		1																		
external	1									1																																		
university							1								1																													
ice														1				1				1						1			1													
decade																													1															
express	1		1		1		1				1																						1							1				
double	1		1		1					1									1												1					1					1			
demand					1						1												1										1											
regard											1		1																											1				
architecture					1		1			1																																		
audience															1																													
fight					1						1																							1								1		
citizen																			1																									
match							1			1		1												1							1					1					1		1	
aid					1			1														1																						
limit								1								1								1							1													
sexual	1	1																																										
seem																																								1			1	
distinct	1																																											
grant					1			1											1			1																			1			
possibly			1																																									
improved	1																																											
green	1	1						1								1		1	1												1													
file							1				1				1																		1			1			1					
importance								1																			1																	
electric	1	1					1																																					
significantly			1																																									
cycle												1			1														1		1								1					
constituent	1										1								1																									
creation					1		1					1																																
layer						1	1									1																				1								
tree																			1		1					1					1			1		1								
stop					1		1					1				1																							1			1		
core							1								1	1		1																		1								
format								1			1																				1	1					1							
progressively																																												
yard							1									1								1																				
animal	1			1																																								
understanding	1									1																																		
break					1							1																		1	1	1	1			1		1	1			1	1	
unknown	1										1					1																												
classical	1	1																																										
extensive	1																																											
host						1								1	1				1																1									
destroy																																				1	1							
protect																																		1										
arrive																																							1			1		
square	1						1												1					1		1					1	1							1		1		1	
voice					1			1			1	1							1						1								1											
industrial	1	1																																										
magnetic	1	1																																										
finish					1					1		1				1															1					1								
nation															1				1																									
rare	1																																											
radiation					1				1			1								1			1																					
advance	1				1																	1									1		1						1		1			
principle										1	1																																	
philosophy										1																																		
seek												1																					1						1		1			
speedily																																												
recognize																																1										1	1	
secondary	1														1																													
particle											1							1																										
pattern										1																																	1	
staff							1				1				1													1						1										
traffic					1						1				1																										1			
award					1						1																														1			
deep	1		1															1											1															
expansion					1						1														1																			
identity								1		1															1																			
context											1																1																	
derive																															1										1		1	
administration					1										1																													
oppose																																	1										1	
choose																																1												
greatly			1																																									
surround																																				1								
urban	1	1																																										
zero	1	1					1			1														1							1													
otherwise	1		1																																									
error					1			1		1	1	1																																
native	1			1															1																									
why																	1																											
territory										1						1																												
artist																			1																									
communication				1							1														1																			
launch							1																													1								
regional	1	1																																										
freedom																											1																	
coast										1								1																					1					
visible	1																																											
contract					1						1																			1			1			1								
arm							1		1																									1							1			
message											1																						1											
generation					1										1														1															
nine	1																							1																				
stone	1						1	1											1		1			1												1								
global	1																																											
popularity								1																																				
broadcast											1																									1								
minor	1																																											
sit																																		1		1			1				1	
instrument					1		1												1														1				1				1			
meliorate																																												
wall							1		1									1									1							1										
contemporary	1																		1																									
soil																												1																
carbon							1																					1																
conduct																																					1					1		
symbol										1	1																																	
somewhat																																												
news											1																																	
domestic	1	1																	1																									
port	1						1							1		1															1				1	1			1					
declare																																	1								1	1		
search					1					1													1													1				1				
employed	1																																											
input							1																													1								
step					1		1																	1							1					1			1		1	1		
bridge					1		1		1																1											1			1				1	
respect										1																						1										1		
worldwide	1																																											
capture					1																		1													1	1	1			1			
route																																							1					
publication					1						1																																	
magazine							1				1				1																													
formation					1		1								1								1																					
ring							1	1				1														1										1				1				
onto																																												
subsequent	1																																											
detail										1	1				1										1							1	1											
safety					1											1											1																	
storage					1																		1																					
plane							1																			1	1									1			1					
climate																											1																	
connection					1		1												1						1	1	1																	
dark	1									1																	1																	
manage																																										1		
practical	1																																											
visit					1										1																1								1			1	1	
capable	1																																											
picture							1			1	1																1										1							
spring							1									1		1											1	1			1											
independence												1				1											1																	
obtain																																									1			
aspect								1		1															1																			
dance											1	1			1																						1		1					
learn																																1												
opposition															1				1						1																			
split	1				1		1							1		1		1				1		1																				
brain									1	1				1																						1								
technical	1	1					1																																					
introduction					1						1																																	
belief										1																																		
border							1																													1					1			
possess																																											1	
suffer																														1	1							1		1			1	
transfer					1					1	1								1												1								1		1	1		
enemy															1				1																									
correct	1																													1	1													
oxygen																												1																
measured	1																																											
closely			1																																									
dedicate																																1	1									1		
press					1		1				1																									1	1		1				1	
scholar																			1																									
steel							1																					1								1		1						
hear																																								1		1		
usage											1																																	
daily	1		1								1																																	
fiction											1																																	
reject																																1	1									1		
stable	1						1																																			1		
score					1					1	1				1		1							1		1	1						1	1		1	1							
engineering							1			1																																		
insure																																									1			
indicate																																	1											
mention											1																						1											
eastern	1																																											
path							1									1		1																										
skin							1		1																		1									1								
proper	1																																											
trial					1					1		1																																
statement											1																																	
mix					1							1		1																	1					1								
officially			1																																									
portion																																												
reality								1																			1																	
dry	1																		1												1													
heavily			1																																									
height								1																																				
author																																					1							
fast	1		1		1																														1									
hundred	1																							1																				
specifically			1																																									
block							1			1					1	1								1		1					1					1				1		1		
channel							1				1							1																					1					
string							1				1				1			1										1			1					1			1					
institution							1			1					1																													
resident	1																		1																									
combat					1																																							
vehicle							1				1																	1																
manner								1		1																																		
seldom																																												
hot	1																																											
pair															1																					1						1		
royal	1	1				1	1																																					
neither	1																																											
organize																															1						1					1		
effectively			1																																									
expensive	1																																											
really																																												
opposite	1																																											
severe	1																																											
characteristic	1							1			1																																	
glass							1																	1				1			1					1				1	1			
college							1								1																													
facility					1		1	1																																				
faith					1					1																																		
slow	1																														1													
armed	1																																											
mode										1	1																1																	
background							1	1		1		1																			1													
job					1		1				1								1																							1		
writer																			1																									
defeated	1														1																													
cable							1				1													1									1			1								
leadership					1					1					1												1																	
transmission					1		1				1																																	
density								1																																				
attach																																				1								
big	1		1																																									
bottom	1						1									1													1							1					1			
atmosphere																1		1									1																	
drop					1		1	1				1				1								1		1				1	1	1	1	1	1	1			1			1		
electronic		1																																										
I																																												
strongly			1																																									
item			1				1				1																																	
translation					1						1	1											1		1																			
assign																																1									1			
extent								1																			1																	
debate											1																					1	1											
minimum																1								1																				
programming					1																																							
ultimately			1																																									
frame					1		1				1																					1	1			1	1						1	
hardware							1																																					
whereas																																												
permanent	1																																											
strategy										1																																		
escape					1							1									1										1								1			1		
sex								1					1		1																	1												
edge							1	1								1																				1			1					
screen							1																									1				1				1		1		
critic																			1																									
cold	1									1																	1																	
continuous	1																																											
generate																																					1							
solid	1																									1	1	1																
violence					1																						1																	
liquid	1										1																1	1																
iron							1																					1								1								
investment					1	1		1														1																						
sufficient	1																																											
composition							1	1			1																	1																
et																																												
precisely			1																																									
map							1																								1	1					1						1	
ratio																									1																			
document							1				1											1										1	1											
anything																																												
twice			1																																									
election					1					1																	1																	
slave																			1																							1		
threat											1																																	
studio							1																																					
contribute																																									1	1		
menage																																												
wind					1						1									1																1							1	
truth										1	1								1								1																	
rural	1	1																																										
sale					1						1																1																	
secret	1										1																																	
bus							1																								1								1					
football					1		1																																					
labor					1										1															1												1		
modify																															1													
cross	1						1																				1										1		1				1	
expression					1			1			1												1																					
stock	1						1														1	1					1														1			
atom																												1																
chain							1								1			1	1					1												1								
earth																1		1										1								1				1				
understand																																1												
box					1		1														1			1		1										1								
impossible	1									1																																		
requirement										1																																		
weather																				1											1								1				1	
considerable	1																																											
director																			1																									
moral	1										1																																	
district																1																												
literary	1	1																																										
severally																																												
prepare																																					1			1		1		
subsequently			1																																									
prefer																																						1				1		
sport					1														1																								1	
mechanism					1		1			1								1					1																					
concerned	1																																											
task																																										1		
treat												1																		1		1	1								1	1		
voltage																				1																								
translate																															1		1			1			1				1	
hydrogen																												1																
inspire																																					1	1						
victory												1																																
appropriate	1																																								1			
nearby	1		1																																									
theme										1	1																														1			
draw					1		1					1						1												1	1	1		1		1	1	1	1			1	1	
stand					1		1					1			1	1																1				1							1	
parallel	1																									1					1												1	
notable																																												
print							1				1																										1							
resolution					1					1	1	1								1																								
tool							1																														1		1		1			
essential	1	1																																										
opportunity																											1																	
solar		1																																										
teaching					1					1																																		
argument										1	1																																	
don't																																												
painting					1		1																																					
bit							1											1						1																				
molecule																												1																
crime					1																																							
fleet	1														1																													
stay					1		1				1																				1					1			1			1	1	
store																						1																			1			
pure	1																																											
balance							1															1				1	1														1		1	
successfully			1																																									
politics					1					1															1																			
circuit							1								1	1																							1					
request											1																						1											
environmental		1																																										
distribute																																									1	1	1	
prime	1	1																						1					1		1					1								
reveal																																								1				
eye							1		1	1																														1				
universe										1								1																										
fan							1												1												1					1			1					
patient	1																		1																									
wood							1												1									1																
occasionally			1																																									
selection															1																													
teach																			1												1		1											
acquire																																									1		1	
fundamental	1									1		1																																
linear	1																																											
floor							1	1			1				1			1																										
angle																			1							1								1					1					
incorporate	1																																			1						1	1	
benefit								1			1											1																			1			
description										1	1																																	
flat	1		1				1				1							1																										
protein																												1																
conclude																																1	1										1	
speak																																	1							1				
approve																																1	1											
negatron																																												
chance					1																																					1		
easy	1		1																																									
implement							1																																			1		
husband																			1																									
ideal	1	1								1									1																									
extreme	1							1																																				
intelligence					1					1	1				1																													
quantum										1																																		
online																																												
unless																																												
rapid	1																	1																										
shall																																												
academic	1	1																																										
reputation										1																	1																	
experiment					1					1																																1		
explain																																	1											
park							1									1			1																	1			1					
audio							1	1			1																																	
budget																						1										1												
correspond																																	1											
sister																			1																									
script											1																										1							
rich	1																																											
opera							1				1																																	
progress					1							1																			1													
logic										1																																		
massive	1																																											
root									1		1										1			1							1					1							1	
assume																															1	1				1			1		1	1		
post					1		1				1					1			1														1			1			1		1	1		
domain															1	1																												
foot					1	1	1		1							1			1					1								1							1		1			
link							1				1													1	1																			
bank					1		1								1			1				1														1			1		1			
library							1								1																													
soul					1						1		1						1																									
criticism										1	1																																	
everything																																												
vast																																												
seat							1	1								1																				1					1		1	
thousand	1																							1																				
bad	1							1																																				
mechanical	1	1																																										
crisis												1															1																	
clearly			1																																									
sample										1								1																	1									
instruction											1																																	
circumstance										1		1															1																	
electrical		1																																										
inner	1																																											
copy							1				1																										1							
fund																						1																			1			
prominent																																												
straight	1		1												1																													
personnel																																												
rank	1														1												1					1											1	
adult	1					1													1																									
ago	1		1																																									
exact	1																																											
category										1																																		
fit	1							1																			1				1												1	
housing							1																																					
necessarily			1																																									
attend																																								1		1	1	
couple															1			1						1												1								
roughly			1																																									
widespread	1																																											
street							1								1												1																	
opinion					1					1	1																																	
review					1						1											1										1	1											
concern										1			1																														1	
entry											1											1																						
wear					1																						1			1	1												1	
exception										1	1																																	
compound	1						1			1																		1			1					1	1				1			
council															1																													
efficient	1																																											
algorithm										1																																		
suitable	1																																											
slowly			1																																									
possibility										1																	1																	
horse						1	1																												1									
skill										1																																		
collect	1		1								1																									1					1			
mental	1	1																																										
moment										1										1									1															
let					1																										1		1									1		
manufacture																																					1							
recognition					1					1	1									1							1																	
variable	1									1	1							1																										
village															1	1																												
substantial	1																																											
visual																																												
weak	1																																											
guitar							1																																					
defeat												1																																
deliver																																	1			1					1	1		
abandon								1																								1									1			
discovery					1					1	1																																	
poetry											1																																	
mathematical	1	1																																										
apparent	1																																											
designate	1																																1											
gun					1		1																											1										
ethnic																			1																									
gradually			1																																									
newly			1																																									
plot										1	1					1																1					1							
and/or																																												
confirm																															1	1	1									1		
hair						1			1												1																							
zone									1							1																										1		
drug							1																							1					1									
pain										1			1						1								1											1						
brief	1										1																						1											
constitution					1		1	1																																				
decline																							1				1				1		1						1					
efficiency										1															1																			
spiritual	1										1																																	
fear													1																									1						
representation					1		1	1		1	1				1												1																	
fill																								1							1											1		
perfect	1																														1													
orbit																1																												
conventional	1																																											
apart	1		1																																									
encourage																																	1					1						
newspaper							1				1				1													1																
probability								1																																				
settlement										1	1					1																												
silver	1																					1						1			1					1								
succeed																																										1		
symptom											1																1																	
joint	1						1		1																											1					1		1	
transition											1	1																			1													
legislation					1						1																																	
theorem										1	1																																	
immediate	1																																											
mountain																		1																										
adapt																															1													
fifth	1										1													1	1																			
fine	1																					1																						
genetic		1																																										
consumption					1																		1																					
settle							1																								1		1	1		1			1		1			
prison							1																				1																	
bass	1					1	1	1			1								1																									
formula											1			1																														
scientist																			1																									
shift					1							1			1														1		1		1						1					
entitle																																	1									1		
kingdom															1	1											1																	
save					1																										1										1	1		
shortly			1																																									
candidate																			1																									
one's																																												
desire								1					1														1											1						
mobile	1						1									1		1																										
lot																1			1																							1		
sugar														1																										1				
interpretation										1	1																																	
else																																												
proof	1						1			1	1													1							1					1	1							
reform					1																										1													
commit																																									1	1		
secure	1																																								1			
fewer	1																																											
infrastructure							1																																					
sort								1											1				1																					
absolute	1									1																																		
interface							1			1	1																																	
net	1						1																													1					1			
implementation					1																																							
bound	1																																										1	
morning																													1															
variation					1		1				1	1								1			1																					
vector						1				1								1								1																		
absence					1																						1		1															
attribute				1																																								
Cancer																																												
membership															1												1																	
responsibility								1																																				
spirit								1											1								1				1													
chief	1																																											
classify																																1										1		
discuss																																												
discussion											1																																	
principal																			1			1																						
historiographer																																												
camera							1																																					
branch															1			1			1					1					1													
ordinary	1						1												1								1																	
regularly			1																																									
survive																																											1	
agent																		1	1									1																
universal	1									1	1																																	
interview											1																						1											
accompany																																							1					
arrest																											1																	
distinction								1																																				
reign																											1		1													1		
specify																																	1										1	
repeat												1																					1									1		
accurate	1																																											
agricultural		1																																										
unusual	1																																											
mount							1																								1					1	1							
execute																																	1									1		
vessel							1		1																																			
yellow	1							1																							1													
evolve																															1						1							
peak																1																												
permit						1																											1											
promote																																		1								1		
suit							1				1								1																								1	
arrange																																1	1			1	1							
tube							1		1																											1			1		1			
unlike	1																																											
evolution																							1																					
reduction					1																		1																					
union	1				1		1					1			1	1							1				1																	
dangerous	1																																											
wild	1		1																								1																	
dependent	1																																											
diameter								1																		1																		
pilot																			1																									
usual	1																																											
equation					1						1																																	
noise								1		1	1	1																																
rail						1	1																										1	1		1			1		1		1	
circle							1																			1													1					
install																																				1						1		
interior	1																																											
none	1		1		1																								1															
wealth								1														1					1																	
consistent	1																																											
executive		1													1				1																									
exposure					1			1		1	1													1																				
forest															1			1																										
hunt					1					1					1				1															1		1			1					
integrated	1																																											
vertical	1	1																							1																			
hour								1																					1															
protected	1																																											
restrict																															1											1		
expose											1																					1								1				
partly																																												
boat							1																																1					
fashion					1		1			1																											1							
conference											1				1																													
planet																		1																										
strike					1																										1	1	1	1		1	1					1		
printing					1						1																																	
sentence											1																						1											
depth								1								1											1																	
criminal	1																		1																									
identical	1																																											
telephone							1				1																																	
engage																															1					1					1	1		
convention					1					1	1				1																													
frequent	1																																						1					
uniform	1						1																																		1			
velocity																																												
transportation					1																																							
administrative		1																																										
anyone																																												
debt											1											1					1																	
agriculture															1																													
lay	1																																			1	1				1			
duty					1																	1																						
broad	1																		1																									
didn't																																												
physics										1																																		
finite	1																																											
server							1												1																									
throne					1		1																																			1		
meat														1																														
fluid	1																											1																
invasion					1							1																																
affair												1															1																	
median	1									1																																		
ceremony					1							1																																
vision										1		1																																
credit					1						1											1										1									1			
disk							1																			1																		
demonstrate																																										1		
apparently			1																																									
mensuration																																												
wine								1						1																					1									
quarter					1		1									1			1			1		1	1				1			1				1							1	
tank							1																	1							1				1						1			
bar							1											1						1									1			1								
incident		1										1															1																	
comparison					1			1																	1																			
procedure					1																																							
museum							1																																					
bird						1								1																				1										
experimental	1	1																																										
maths																																												
biological	1	1																																										
theatre																																												
twelve	1																							1																				
employee																			1																									
spectrum								1												1																								
damaged	1																																											
firm	1		1												1																													
visitor																			1																									
clock							1																								1													
favour																																												
ready	1																										1																	
safe	1						1																																					
accuse																																	1											
fly	1				1	1	1																								1					1			1	1				
painted	1																																											
answer					1						1																					1	1		1								1	
evil	1				1			1																																				
traditionally			1																																									
brown	1							1											1												1													
interaction					1															1																								
notably			1																																									
appeal					1			1																									1									1		
extension					1		1	1			1																		1															
recommend																															1		1											
stability								1																			1																	
illegal	1																																											
bill					1		1				1											1											1											
it's																																												
assembly					1		1								1																													
herself																																												
option										1												1																						
association					1					1					1								1		1		1																	
committee															1																													
fundamentally																																												
sum							1			1					1							1																						
happen																															1											1		
hope								1					1						1													1						1						
minister					1														1																							1		
von																																												
purchase					1															1		1																						
gender											1																																	
perceived	1																																											
actor																			1																									
club							1								1																					1						1		
concentration					1			1		1		1																																
worth	1							1											1					1																				
arrangement					1					1					1																													
chapter											1	1			1														1															
mouth							1		1									1	1														1			1								
plate							1		1					1				1						1												1								
revenue																																												
league															1									1							1													
phrase					1						1																						1											
classic							1												1																									
mixture																												1																
researcher																																												
reflect																																	1							1				1
supposed	1																																											
